Temperature, degC 	 Pressure, bar 	 hf, kJ/kg 	 hg, kJ/kg 	 sf, kJ/(kg K) 	 sg, kJ/(kg K) 	 vf, m^3/kg 	 vg, m^3/kg 
25	0.0316974685	104.8383858627	2546.5440588015	0.3672563028	8.5567963813	0.0010030052	43.3413931491
26	0.0336368748	109.0205155861	2548.35490746	0.3812591128	8.5354968318	0.0010032675	40.976830026
27	0.0356789202	113.2022211055	2550.1643294633	0.3952137419	8.5143809231	0.0010035393	38.7581581114
28	0.0378281263	117.3835402458	2551.9722942811	0.4091206349	8.4934465597	0.0010038205	36.6754231912
29	0.0400891693	121.5645090436	2553.7787709345	0.4229802263	8.4726916745	0.001004111	34.7194109793
30	0.0424668834	125.7451619381	2555.5837279712	0.4367929406	8.452114228	0.0010044105	32.8815878383
31	0.0449662639	129.9255319425	2557.387133441	0.4505591938	8.4317122079	0.001004719	31.1540465764
32	0.0475924712	134.1056507988	2559.1889548734	0.4642793933	8.4114836286	0.0010050363	29.5294568599
33	0.0503508338	138.285549116	2560.9891592559	0.4779539388	8.3914265303	0.0010053623	28.0010198235
34	0.053246852	142.465256494	2562.7877130134	0.4915832228	8.3715389789	0.0010056968	26.5624265007
35	0.0562862014	146.6448016353	2564.5845819893	0.5051676309	8.3518190649	0.0010060399	25.2078197317
36	0.0594747366	150.8242124447	2566.3797314275	0.5187075423	8.3322649036	0.0010063913	23.9317592425
38	0.0663236963	159.1827392211	2569.9647295706	0.5456553625	8.293646418	0.0010071187	21.5954108675
40	0.0738442749	167.5410472587	2573.542416808	0.5724296025	8.2556689123	0.0010078784	19.5170436718
45	0.0959438884	188.437174006	2582.4526465914	0.6386242256	8.1634367692	0.001009914	15.2534355388
50	0.1235127043	209.3362003949	2591.3102638166	0.7037939047	8.0749091813	0.0010121368	12.0278641466
55	0.1576141353	230.2410056178	2600.1098173886	0.7679786179	7.9898850157	0.0010145386	9.5649212154
60	0.1994580192	251.1543931381	2608.845404702	0.8312162521	7.9081744097	0.0010171128	7.6676563233
65	0.250410979	272.0791243694	2617.5106723753	0.8935428243	7.8295978595	0.0010198541	6.1938277991
70	0.312006357	293.0179366828	2626.0988205609	0.95499264	7.7539854176	0.001022758	5.0397327017
75	0.3859536269	313.9735540674	2634.6026071001	1.01559842	7.681175975	0.0010258211	4.1290813065
80	0.4741471993	334.9486951434	2643.0143499475	1.0753914097	7.6110166122	0.0010290408	3.4052654064
85	0.5786745487	355.9460810347	2651.3259287174	1.1344014808	7.5433620113	0.001032415	2.825933479
90	0.7018236074	376.9684443135	2659.5287883637	1.1926572289	7.478073931	0.0010359426	2.3591493948
95	0.846089384	398.0185394747	2667.6139493866	1.2501860688	7.4150207449	0.0010396228	1.9806484371
100	1.0141797792	419.0991549977	2675.5720292208	1.3070143278	7.354077051	0.0010434555	1.6718606011
110	1.4337596724	461.3633531387	2691.0676333138	1.4186695174	7.238045797	0.0010515803	1.209389605
120	1.9866539974	503.784567107	2705.934247417	1.5278150478	7.1290908569	0.0010603266	0.8913039522
130	2.7025960656	546.3878367749	2720.0878257369	1.6346312703	7.0264078298	0.0010697113	0.6680844514
140	3.6150096198	589.2002596436	2733.4439437081	1.739289066	6.9292723061	0.0010797596	0.5085191744
150	4.7610138108	632.2515601107	2745.9191425853	1.8419520428	6.8370333416	0.0010905047	0.3925024138
160	6.1813919672	675.5746798636	2757.4305309693	1.9427785229	6.7491038453	0.0011019885	0.3068184475
170	7.9205318369	719.2063979309	2767.8936550359	2.041923368	6.6649484232	0.0011142624	0.2426157955
180	10.0263456881	763.1879981829	2777.2194106819	2.1395396975	6.5840707717	0.001127389	0.1938616052
190	12.5501792086	807.5660111798	2785.3110035082	2.23578057	6.5060028407	0.0011414429	0.1563767894
200	15.5467186827	852.3930680834	2792.0615640123	2.3308007061	6.430296772	0.0011565139	0.1272223214
210	19.0739066433	897.7289197645	2797.3523490814	2.4247583526	6.3565190579	0.0011727089	0.1043019481
220	23.1928772773	943.6416987006	2801.051000399	2.5178174199	6.2842455211	0.0011901563	0.0861007204
230	27.9679245577	990.2095414473	2803.0092956133	2.6101500866	6.2130558601	0.0012090108	0.0715102348
240	33.4665187151	1037.5227548257	2803.0599721382	2.7019401597	6.1425269673	0.0012294605	0.0597101233
250	39.7593907084	1085.6868126801	2801.0120704016	2.7933876369	6.0722241011	0.0012517369	0.050086565
260	46.9207105436	1134.8266316172	2796.6436363951	2.8847151531	6.0016880237	0.001276129	0.0421754868
270	55.0283947409	1185.0928237803	2789.6898612305	2.9761773555	5.9304151362	0.0013030052	0.0356224479
280	64.1645928168	1236.6710007035	2779.8244623369	3.0680747776	5.8578276097	0.0013328453	0.0301539651
290	74.4164254362	1289.7957210967	2766.6326458614	3.1607744802	5.7832318823	0.0013662912	0.0255568267
300	85.8770832956	1344.7713390197	2749.573742544	3.2547405505	5.7057636168	0.001404223	0.0216630647
320	112.8385588655	1462.0510091193	2700.6676873413	3.4491160973	5.5373194499	0.0014990631	0.015475927
340	146.0018105681	1594.4465698708	2622.0667476473	3.6599493787	5.3359115648	0.0016375137	0.0107838325
360	186.6637110275	1761.4917585529	2481	3.916357556	5.0526	0.0018945141	0.006945
374.14	220.9	2099.3	2099.3	4.4298	4.4298	0.003155	0.003155
